content,target
罗老师内心深处还是更倾向于自然法学的,1
构不构成，这老师也难当了,0
FAQ,0
强行显灵了属于是,-1
最高，但会根据情节判处，实际不重,0
blow job,0
致敬,1
刷什么降智，这是战争只能赢不能输？输了就是降智？,-1
本·拉登,0
你这相当于非黑即白了啊,-1
^-^',1
我还在想聂林是谁,0
萨拉米斯海战,0
胡扯,-1
弹幕护体,-1
没啥感觉,0
话说从哪看到人的,0
我从来不背法条,1
今夕是何年？,1
自我心肺复苏,0
罗老师，请一直为了人民群众发声，请不要为了部分人服务,-1
啊？,0
谢谢老师,1
就是未知，人类最初始的情感就是对未知的恐惧和探索,0
？,0
女主好漂亮阿,1
老师好,1
很久没投稿了,1
敖师傅胖了一大圈呀,0
这就是一个错误的例子,-1
晚安,1
上次我在读者里看到过！,1
招安后的宋江就像个没了脑子的人..一点用都没...故事还不如在招安后结束还好..干麻要写后面二个出征,-1
原著中说过丹尼出生时脸上盖着胎膜，传说胎膜覆脸者有神目,0
？？？？？乘100,0
动作指导：贾巴尔,1
多动症,1
关于领土的你想太多,0
不行了笑死我了哈哈哈哈哈哈,1
妈妈生的,-1
额,0
英雄不朽,1
经典bgm 泪目,0
古德里安失去同步,1
学到自家软件了……,-1
吓人,-1
乔治自由意志主义,0
打字机可能没有办法，电脑的话可以用笔画作为基础呗,0
喝完就被蛊惑了,0
直接掉了100w粉色,-1
在这种地方请不要刷烂梗，谢谢,-1
复活赛胜者！,1
谁家横批从左往右读？,0
合理，包括多子女不得升官，配偶子女移民并在海外居住不得升官，都合理，这是限制权利，是公平，别扯平等,-1
怎么还没凉？,-1
是丈夫疯了好吧,0
的对但感觉不如你说的对，但是《懒设计》是由成都恒图自主研发的一款全新开放世界冒险游戏。游戏发生在一个被称作「b站」的幻想世界，在这里，你将扮演一位名为「敖厂长」的神秘角色，在自由的旅行中邂逅性格各异、,-1
这个构图吓人,-1
关键这贴的位置。。。,0
下期开始,0
犬,-1
浦元英：罡星侵犯吴地，中间夹杂着一半暗淡无光。,1
[前方高能],0
张清不是照顾妻子吗？,0
致敬,1
别乱说 除了特殊单位 大部分公务员政审时只需要出具你本人的无犯罪记录证明 不需要你父母的,0
精苏震怒,1
真打不过，人家就不跟你打了。,0
往墙上撞试试,0
亲马换热度，赚不赚啊厂长,-1
这里有敖犬霰弹枪,-1
哈哈哈哈哈哈哈哈,1
单抽出奇迹 十连能保底 太刺激了,1
晚安,1
戈尔巴乔夫进入直播间,1
是不是男主疯了,-1
还敢回来？,-1
偷换概念,-1
冰镐杀手,0
选修三历史书原话说是因为战乱市场不稳定,0
致敬,1
我想起那个把曹操的P当成自己放的笑话～～～～,1
防人之心不可无嘛,0
谢谢老师,1
我来祝敖厂长付出成功，祝敖厂长妻女宝石轻漏[脱单doge][脱单doge][脱单doge][脱单doge],1
你们敢想看这个的时候突然有东西掉下来了吗 直接吓死我,-1
911,0
《其他》,1
喝,0
跟着何同学上电视,1
不要拿法律当挡箭牌,0
今夕是何年,1
女主眼睛好大好突,0
晚安,1
能评论吗？,-1
啊啊啊啊啊，老婆好厉害,-1
措施,0
富强，民族，文明，和谐，自由，平等，公正，法治，爱国，敬业，诚信，友善。,1
就是因为很多人听说或经历过那个表面一派祥和实则疯狂的时代,0
这一段应该放原版的hh,1
厂长念对字了，爷青结,1
感谢张伟,1
文艺复兴,1
你为什么要为官？你在推动罪犯子女晋朝为官的同时，有没有考虑过受害人甚至社会群里对这公平性、道德性的看法？,-1
你tm还有脸发视频？,-1
鲨臂,-1
苏式恐怖呢？,0
好亖,1
篮球插花,0
就这个事情依旧要骂你,-1
你胡说八道，犯不犯罪应该听人民的看法,-1
ઈઉ 既然想要寻欢作乐 欢迎来到极乐净土,1
好好好,1
可怜的美国大兵炮灰,-1
年更UP主,1
喜欢吃蛋糕的人，你们一定要尝一下这个新口味！,1
这歌还停留在我的初中时代,0
苏打，苏打，一天天就知道舔苏打的颜,1
这个应该是五笔输入法的前生吧？！五笔输入法简直就是神一般的存在，太好用了！,1
支持罗老师！,1
哪里不讲人情世故啊 小朋友,-1
厂长改说书的了,0
有高能吗,-1
为什么不能？凭什么不能？,-1
关了防挡模式,0
你这个钢笔式捏笔手法。。。。。,0
我教唆我自己,0
直接举报,-1
不是只要违背女意愿就算吗？,0
属于是自我介绍,-1
章鱼哥：你是在说我吗 ？！,1
自我认知还是很清晰的,-1
尬住,0
来不及选择了，我全都要！,0
当场肃反,0
南充 宜宾 都是我老家,0
讲得真好！！！！！！,1
像桃花源记，虽然一片祥和，但细思极恐,-1
？,0
罗老师,0
？,0
“到处都是活水，我怎么拿捏他们？”,-1
哈哈哈,1
奥犬,-1
致敬了不起的他,1
可以，改行美术专业了,0
哈哈哈哈哈哈哈哈哈救命,1
？？？？,0
爷爷，你举办的up主更新了！[喜欢]​,-1
《辉煌的过去》,1
疏通航道！,0
阴乐恐怖程度99%,0
阿尼gi,0
说有网就能接受的，有没有一种可能，你有网了就不叫孤独了,-1
祝敖厂长蒸蒸日上,1
他甚至还知道央视工作证长啥样,0
美丽的风景线,1
凹出生,-1
比如经典的jumpscares,0
哀悼,-1
默哀,-1
？？,0
默哀,-1
求你把哈银的bgm关了吧,0
他的福没倒过来（确信,1
胆子真大,0
正在看的42人，你们不攻击攻击他么,-1
你就说上没上央视吧,1
《木文》,1
说细化的那位～可别细化了，够细了,0
箩筐罪,0
套娃了这是,1
升华了,1
嗯杠地懂不懂批判呀，只“批”不“判”是吧,-1
适合我这种社恐,0
你自己先滑坡了吧,-1
bgm爷青回,1
《违背妇女意志》,-1
空洞骑士试图反抗辐光是诡异,-1
没门，福字没倒贴,0
应该有门的地方没有门，就会惹人揣意是不是有个不是人走的“门”,0
开口脆,1
csdx,0
《bgm式恐怖》,1
没有,0
明年见,1
大量洗衣粉,0
纯狐是吧,0
女主耳朵好红,0
我就说一点 这种人！有没有用！忠言逆耳利于行 良药苦口利于病！,0
工贼,-1
kan看我发现了什么？,1
.,0
我的作文.jpg,0
难以入睡我不会想这个。。。,0
南方的水战比北方强,0
。,0
NT,-1
总感觉是老美默许的,0
合适的不得了,0
小日子不是一惊一乍吗？,0
评论这么少，懂的都懂吧,-1
默哀,-1
政审不是刑罚！停止偷换概念！,-1
超惑星战记,1
敖犬,-1
？？？？？？？？？？？？？？？？,0
图 丫,0
美国就是反人类,-1
啊？,0
啥勾,-1
？？？？？？？？？？？？？,0
胯  下   运   球,1
为什么握笑了,1
一撞：退一步越想越气,1
哈哈哈,1
想到张伟就想笑,1
老敖回来了,0
谢谢你们的努力,1
现在没人再想想祝家五虎了吧,0
小黑子是吧,1
“永远”,1
？,0
全部都要,1
打赢复活赛了，准备不要笑挑战,1
我觉的什么都没有,0
獒,0
发这种话的人真可怜呜呜呜,-1
"yes,sir!",0
可是水源不止一处呢,0
哦哦哦是他！,1
弹幕护体,-1
前方高能预警！前方高能预警！前方高能预警！前方高能预警！,0
《克服》,1
支持老师,1
我来祝敖厂长付出成功，祝敖厂长妻女宝石轻漏[脱单doge][脱单doge][脱单doge][脱单doge],1
喜气盈墙,1
好聪明的小孩,1
哇！牛壁！,1
4年前玩过一个剧本杀里就有一个角色是这样，手里各种假证。,0
女主长得很好看啊,1
哈哈,1
？,0
厂长已经极端了,-1
政审不是翻案底，与道德政治无关的犯罪也不会卡你政审的，不要混淆概念,-1
自杀可以吗？,0
好喜欢这个女主角啊 感觉有点神经质但又特别心地善良的感觉,1
听到印第安风格就想到了,0
？,0
乌克兰的小姐,0
后面是一块屏幕？,0
致敬,1
克莉，克莉，整天就知道看我老婆克莉,1
凹犬,-1
这个感觉真不算阿谀奉承，就善于为人处世，做人有大智慧,0
《没门》,1
不欢迎,-1
软肋时代,1
文艺复兴了,1
万能罪,0
双倍快乐,1
非常合适,0
2011年,0
山巅之墟,0
等等，这熟悉的背景变换，你sp也60了？,0
其实东明皆学问，人情练达即文章。,0
无事发生,0
阿泰尔艾吉奥康纳爱德华谢依亚诺雅各布伊薇失去同步,1
你把BGM去了，看看恐怖不恐怖。,0
那岁月史书是不是应该判无期徒刑,0
但凡换首好运来,0
罗老师知道这么多，要怎么做才能活着不累,1
错，应该是一边追着别人，一边回头对你笑才,0
老师好,1
开始故弄玄虚的表情,-1
赵五表示正当防卫过当,0
走御姐路线就对了,1
老师，您被绑架了就眨眨眼,1
汰渍侯,1
敖犬,-1
你不配,-1
《垃圾》,1
跟我爸同龄,0
这不是送人头嘛,0
致敬,1
一回头，我被我椅子靠背吓到了,-1
没用了，毙了吧,-1
小镇做题家（bushi）,1
谢谢老师,1
贾星星？,0
美式居合,0
哈哈哈哈,1
所以你想取消吗？罗老师,0
原来是这个场面！哈哈哈,1
这里有敖犬！,-1
?,0
几天不见这么拉了？--------鬼！,-1
懒设计的钱真舒服,-1
前方高能,0
你们辛苦了,1
这个游戏叫啥名来着,0
81192跑道已清空可以返航,1
不信不信（嘴硬）,1
就因为你没钱没势,-1
2222222,0
考了大学怎么办,0
用三天两觉小说里的话，碰到美式恐怖，要不他弄死我，要不我拿电锯就能解决他,0
势如破竹……什么势破如竹哈哈哈哈哈哈,1
那可是30万条人命啊！,-1
HOO,0
开始爆更了？,0
可带劲啦,0
说像崔佛的，我也觉得很像,0
若敢来犯，必叫你大败而归,-1
社会应该更包容而不是剥夺一部分无辜之人的权利，这样反而容易导致更多的犯罪,0
81192，等你返航！,1
cs东西,0
反乌托邦？,0
这个合理的投票结果也可以接受，你们想世界上到底是智慧的人多还是普通的人多？,-1
漂亮国的政治家真是能干,-1
没有人均一到，他是用3D建模的方式展现出来了吗,0
想买,0
不能把绳子割了吗,0
都看到大结局还离谱呢？,-1
把你的懒设计叫出来啊,-1
怀念了,0
山东人宋江对事业编的痴迷,1
摸♂不 ♂到！！,1
快来吧,0
李宏伟,0
《开门红，但是失败了》,1
敖犬出没警告,-1
打字都没有写字快,0
强行降智,0
默哀,-1
又多了一个喜欢林语堂的理由,1
沙比,-1
KANLE,0
那时才10岁，比看电影震撼。,0
承包空屏,1
致敬,1
正在吃炒肝的我…,1
吸烟有害健康,0
弹幕呢,0
笑场了,1
？,0
恐怖小尼,0
好蠢,-1
脑补大师,0
《自我评价》,-1
致敬,1
爷青回,1
哀悼！,-1
好！！！,1
失踪人口啊,0
呼应上了,0
？,0
就像这样：彳亍,1
FP,0
罪犯没人格的我求你别出来丢脸，都白学了,-1
哈哈哈,1
◈ Dedication（献身）就这样 Addiction（上瘾）这样还是 只有一句「结束了」,-1
纯   狐,0
敖犬长,-1
技不如人，没啥可说的,0
保护保护保护,1
猩红腐败,-1
《又粗又大》,1
一眼假 哈哈哈哈,1
我还以为是我公务员面试的题目,-1
谢谢罗老师,1
？,0
是你开学前一天没写完作业（确信,1
认为兜底的人，我只能说呵呵，成为一个现代意义的公民，你还不够格,-1
专门搜索来骂你的,-1
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1
不认识,0
《灵魂莲华》,1
讲游戏啊想听游戏,-1
敖畜,-1
獒犬,-1
写小说的其实你自己写出来很多你的潜意识你自己没意识到的，作者已死,0
功夫就是致敬的这个桥段,1
姐姐杀我！！,1
我的偶像刚刚宣布了一次巡演，这让我感到非常兴奋！,1
支持罗老师。,1
这位在偷换感念 大家要谨慎,-1
布哈林进入直播间,1
龙生龙凤生凤老鼠的儿子会打洞？？？,0
美狗总有一天会血债血偿,-1
为什么能这么像,0
港诡实录！,1
U咩U,0
说没死兄弟的笑死，小兵就不是兄弟，就是炮灰是吧哈哈哈,-1
大白，核酸，,0
坏人头顶有伞,0
张顺：姓方的你是不是忘了这本小说里有魔幻元素了（doge）,1
233333,1
？,0
应该,0
《温和》,1
干得漂亮,1
英雄不朽,1
火力优势学说,0
这是九又四分之三站台,0
这是烟幕弹，被推到前面的人质，真正的受益者是哪些群体,0
很早以前立了一个三观 就是 想人还是把人想的坏一点一开始！宁可之后再了解 千万不能把人想的好,0
五种武器？背上五把武器打辅助哪位？,0
？,0
厂长这声WDF魔性了,1
奥利给,1
受害者没打过施害者所以不配被讨论吧,-1
然后到了晚上那个夜总店血流成河,0
英雄永垂不朽,1
对联:6,1
投币投币,1
前面的，但是生命权利总比前重要，作为个人不能私自处罚,0
我突然想到之前看过的一起真实灵异事件。。。,-1
福没倒着贴（恼）,0
默哀,-1
这人皮肤带绿光不会是蜥蜴人吧,1
经典老番,0
上头,1
哈哈哈哈哈哈哈哈哈哈哈哈,1
罗老师！谢谢你给我们看到理想主义者的坚持和勇气,1
2021,0
致敬,1
？？？？？？？？？？？？？？,0
唯一一个死于热兵器的好汉,0
表示潜意识区域也没有作用到,0
动车都没你快,0
再靠近一点就要爆炸再靠近一点就要爆炸再靠近一点就要爆炸再靠近一点就要爆炸再靠近一点就要爆炸再靠近一点就要爆炸,1
当美国说你有大规模杀伤性武器的时候，你最好真的有大规模杀伤性武器,-1
笑嘻了,1
哈哈哈哈哈哈哈哈哈哈,1
你简直是用悖论去说套实际 道德绑架,-1
6,1
我试试看,0
愣着干嘛，投币啊,1
July10th,0
罗'R，你着相啦！,-1
我觉得可能是性，侵，仔细想想杰克说的“最爱丹尼”,0
酿,0
《他的世界安静了》,1
啧啧,0
这就没啦？,0
卧槽,0
晚安,1
偷换概念，不知道替谁说话,-1
认真殴打可以是故意伤害罪,1
赢的连她妈都不认识！明天辞职了 要么明天我当领导了 哈哈哈,1
雷神，雷神，天天就想着开雷神,1
为什么总是现在罪犯的角度去思考，被施行了犯罪的受害者呢？难道就不该替他们想想吗,-1
气死哦累！！！！,1
因为伊拉克的石油结算要用欧元。动了漂亮国的蛋糕了,0
公孙胜呢来救一下啊，疾！,-1
当美国说你有大规模杀伤性武器时你最好真的有,-1
这个不上央视？,1
1,0
钱塘江吧？江边浪大，尤其是台风天,0
没有人比我更懂丹尼富强，民族，文明，和谐，自由，平等，公正，法治，爱国，敬业，诚信，友善。,1
太厉害了,1
支持一波,1
车是迪克开来的,0
不愧是咬人猫啊！,1
这不就是门吗，撞上去就到后室了,0
不如懒设计,0
致敬王伟烈士,1
是的 阿谀奉承确实是本事，所以接着吹 懒设计呗,-1
想揍你，找个理由不简单吗？道理是给有实力的人（国家）讲的,-1
？两眼一黑,-1
高端局不能随便越塔啊,0
所以这是有人夺门而出了吗,0
┗|｀O′|┛ 嗷~~,1
敖犬,-1
voice,0
怎么还有脸回来？,-1
威廉尖叫,0
什么畜生会这么控制不住自己的脾气啊？老这么生气。,-1
\+,0
你都这样说了那我铁定要去啊（狗头）,1
尸体,0
老师好,1
借你吉言,1
这不就是五笔字型嘛,0
老师好,1
库布里克不可能穿帮,0
芳草碧连天,0
敖犬丨,-1
连坐是表示家人也要接受同样的刑罚还是什么？,0
"""受害者有罪论""",-1
？？？？？？？？？？？？,0
那没事了,0
动车：终于看到比我快的汽车了,1
293，记住了,0
保住合法性,0
叠甲开始,1
菊花,0
张伟来了,1
啊♂,1
哈哈哈,1
必须取消，然后完善故意伤人罪和侮辱诽谤等罪名。,0
果然是学法学的连人味都没有了，说的自己？,-1
这我觉得就是贴错了,0
明年见,1
切腹上血质变,0
性别互换呢,-1
初音，初音天天就想初音,1
要想生活过得去,1
要构成,0
爷青回，我说看前几期怎么少了点什么,1
谢谢老师,1
强攻不如偷袭,0
眼前一黑,0
两个帅哥没了,-1
大部分人不都享受父母的庇护吗，这也能成为歧视的理由？,-1
灯塔,0
有了不太合适，没有的话也不太行。,0
？？？,0
我超，这种视频形式爱了,1
默哀,-1
[Ohhhh],1
？,0
加油,1
？？？,0
?,0
敖犬,-1
卧槽,1
终于有讲主角名字的了,0
突然一转封神演义,0
我直接自信，hi~老婆,1
甲种,0
都要犯罪了肯定是利益熏心的，跟坐牢比起来影响孩子政审算什么大事？罪及子女威慑作用几乎为零，我觉得是不合理的。,0
这点好怕他把门把手按下去门开了,-1
这也没起到效果啊……这也算功利主义的选择？,-1
原来，我们都是张三,1
因为到岸之后要陆战，结果刮大风掉海里淹死了,0
简单来说就是想得太多,0
这箭簇装甲，一看就是IS-3试验车(doge),1
怎么瘦了,-1
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1
敖厂长回来了,0
呵呵，我考试物理39，我都不敢回家了,-1
讲这些不如多讲讲懒设计,-1
不如懒设计,0
支持,1
不可以  不可以 天王老子来了我的态度都是反对,-1
刑不可知，威不可测,0
懂了，这就回去开打,1
爷青回,1
翻译要结合上下文，这里翻译霸权也没错,0
有没有可能，之前打宋军是因为他们在自己的地盘,0
前有隐藏道路,0
在这里解释了怪兽大学的苏利文为什么恐怖,0
金币+1就离谱。。。,-1
美国人最坏了,-1
上纲上线时期试试,0
我的厨子大叔呜呜呜,-1
好！！！！,1
顺：tmd我怎么没想到？,1
啊？,0
这电影针不戳,1
向英雄致敬,1
2,0
蛋仔（幻听）,1
门呢,0
阿瓦隆系统已部署，我们的评论将会更加重复！,-1
《夺门而出》,1
门呢,0
突然有点感动，想哭,1
哈哈哈,0
这里有敖犬霰弹枪,-1
提妈降临,0
致敬,1
致敬,1
致敬,1
跪求夫人出一点约尔的壁纸！！,1
遥望旅馆是不是有能力让人保护他啊？,0
啊？,0
哪吒,0
？,0
来自阴间的电话,0
多弗朗明哥（幻视）,1
害怕,-1
nb,1
四川妖王,0
老师好,1
人家那个视频没显示这队亽仒,0
各种法条中的公序良俗需要仔细写明，不然就别写,-1
应该刀他,-1
呵呵呵呵呵呵呵,-1
以前有的车上还帖对联,0
好似,-1
耍横,0
难道不能一边抽烟一边按着呢,0
每每想到他的理想已经实现我都不能自已,1
？,0
开门！克勃格炸鸡,1
简直就是谋杀啊！害死别人了,-1
这可不一定哟,0
这时候才想起来？,-1
致敬英雄,1
花粉过敏的？？,0
伏笔了,0
我看你罗翔是飘了,-1
亲亲喵喵,1
只工作不玩耍，聪明孩子也变傻,1
给基层民警普及法律定罪标准刻不容缓！,0
等下你要干什么你在打什么,0
牛啊好牛,1
不如懒设计捏,0
张缘凤？,0
回门,0
小题大便,1
······嗯,0
老师好,1
上课都没这么认真过,1
噗,0
美国说你可能有核武器，你最好真的有。,-1
？难道我不是中国人？,-1
[OHHH],1
弱国无外交,0
？,0
多谢bgm,1
李四这个属于随地大小便（不是）,1
这里没看到,0
这个逻辑方式很落后啊,-1
熬厂长考研了？,0
前面的我也是，看到这个大头娃娃就觉得诡异,-1
前方高能预警！前方高能预警！,0
?,0
欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉欧拉！！,1
有本事发动伊朗战争 试试,0
哎杰克还是个孩子啊,-1
罗说的“可能”太多，却又不全面列出各种“可能”,0
谢谢老师,1
用张清董平换独松关，亏大了,-1
很合理啊，大家都不能选择自己的出身，如果投胎穷人家受苦是合理的，投胎到罪人家被连累也合理啊。,1
福贴倒了,0
名场面,1
这个提裙摆太优雅了！,1
我去，女主每次出现都能把我吓一跳。这个演员真的长的好诡异啊。,-1
关键是怎么才能确定了犯罪，无法被确定犯罪的人就无法受到惩罚，而无法被定罪的人往往造成的破坏才更大。,0
出家算了,0
福在门外本来就是倒着贴的啊，门外纳福门内福才能到,0
感受到了设计和制作的难度…,-1
又开始偷换概念了！英语和限考不是根本性的区别！,-1
上培根！,1
“你上，我掩护，用王老师教的战术”,0
精苏震怒,1
笑看弹幕侠,-1
+,0
为了卸载精灵腾出显存,0
失踪人口就别回归了吧,-1
有一说一画的真不错,1
反对罗老师的人，真得理解了无知之幕吗？,-1
致敬,1
乌龙岭绕不过去，补给会被切断,0
很难想象当时林语堂是怎么做出来的,1
有本事你把BGM去掉,0
直接叫李某法可还行,0
太太貌美如花,1
有内味了,1
牛,1
什么张伟（,1
焯，寒蝉的bgm,0
董平张清：人与人的悲欢并不相通,1
好个坐忘道，让我看看你有几张脸！,1
多点批判性，别人跟你不一样的看法不代表你一定是对的别人就是错的，反之亦然。,-1
创新是发展的第一动力 实践是认识的来源和动力 是检验真理的唯一标准,0
6,1
默哀,-1
默哀,-1
退钱,1
美国群众有阴谋论2，1说飞机不存在，是美军用武器炸的。2说是美国雇的司机去撞楼。,0
有没有高能君,-1
插眼插眼,0
世界名画,0
懒设计yyds,1
不可以参军，考公，我说的,-1
六爷，你吃了两碗粉，只给了一碗的钱。,1
好似喵,-1
2030前来考古,0
这下真的是无用了,-1
你这跟人上人有什么区别,-1
我谢谢你,-1
又粗又大。。,1
黄色,0
我超爷青回,1
非得被抓才能提出意见？？,-1
勾二字一个,1
胖了,0
后面写得使一样,-1
啊，我不认识啊,0
见苏进,1
敖厂长：盖亚――,1
这里应该有个门,0
求厂长创作这个角色时的精神状态。,1
经济把车,0
抽烟啊,0
谢谢罗老师,1
一路好走,-1
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？,0
更瞧不起你,-1
啊？,0
哈哈哈哈哈,1
害人啊,-1
说得好,1
任何事都不是非黑即白的，总有一个中间状态。连坐未必对，不限制也很有可能被钻空子！！！,0
厕所里的花子,0
这不那个什么热带地区那舞吗,0
前面的，这只能算是从一重罪...,0
像由心生啊,-1
OHHH谢谢老师,1
[ohh],1
哈哈哈哈哈哈,1
哈哈哈哈哈,1
你不看看你干了啥被骂，有胆先说说,-1
90年代00年代好几笔血债,0
作者是真的不会啥计谋啊,-1
说白了强拿硬要是对同一个对象而言的,0
超级喜欢！,1
小心屠夫,-1
我选达尔,0
弹幕护体啊啊啊,-1
墓？？？？,-1
爱国啊！！！,1
卢瑟福发现了a粒子,0
卧槽，灵魂出窍,0
我不看了，我柜子动了,-1
正义？你认为你是正义？凭什么？你觉得这是剥脱了他们的权利。那么我们认为，你们的允许，使我们受到了自身利益可能受损的威胁。,-1
最好莲座 朱连九族那种,-1
[ohh],1
致敬英雄,1
哪里像hhhh我怎么看不出来,-1
写的不好了就说不是施耐庵写的是吧？本来水浒就不是一个作者，前面每一部分也不是一个人写的,-1
敖犬,-1
不是精灵层，是背景层。,0
好心疼妈妈,-1
简单来说就是封建迷信,0
嗷滴码玛无了,-1
致敬,1
谢谢老师,1
啥卵,-1
危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危危,1
什么时候似啊,-1
不合理,0
woc！原来我看的是删减版！错过了好多重要的内容，难怪觉得有些地方怪怪的,0
从邪向邪,1
靠，灵异第六感也很可怕,-1
已经被这个房子影响了，不是杰克的错,0
人类社会就是人情世故,0
"所以他犯罪他活该,他子女做错了什么?",-1
致敬,1
现在看的贼眉鼠眼,-1
门被于老师的媳妇彪子夺走了,0
为啥你们不说话啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,-1
不玩，滚,-1
致敬,1
不对不对，不要被洗脑了,-1
被污染的水源还少吗？,0
81192，甲板已清空，欢迎回家,1
河北工业大学！！！,0
对焦不对,0
害活着啊,-1
wc。对味了，泪目～～～,1
2,0
太超前了,1
差个法师,0
↑希望你的家人被害的时候，你能笑嘻嘻的看着他孩子考公务员,-1
果然我还是喜欢旗袍,1
大长腿！！！！！！,1
我怎么没看到过这一段啊,0
？？,0
你确定是借机而不是按计划？,-1
我只能判 正当防卫,0
现在还不够黄色？,0
铺垫对我没有用,0
？？？？？？？？？？？？？？？？？？,0
911？,0
怀旧服是吧,0
好，好个小李广花荣！！！！,1
《紫罗兰永恒花园》,1
什么爱吃、,0
说你有罪就有罪,0
不对不对不对不对,-1
说偷换概念的是自己理解有问题吧,-1
双诡的同志举个爪（诡秘之主 道诡异仙）,1
2千万粉，我滴妈,1
大飞老师、,0
？？？？？？？？？,0
+,0
政客的阴谋！但是让老百姓拿命来买单！,-1
发现敖犬,-1
过犹不及，适度才比较合适现实情况的平衡,0
偷渡阴平,0
如果你配上一个沙雕音乐我感觉会更恐怖doge,0
！！！我害怕了,-1
盲婚哑嫁，指全在俊和崔惠廷,0
吓得我提前预备好神光棒,-1
复活啦,0
为什么不考公就不能改过自新？,0
保护,1
好看举办了,0
卧槽！巨婴,-1
这特么也算计？,-1
中国成语有个词叫杀鸡儆猴,0
工作中确实是这样,0
乌姆里奇是你吗？？？？？,0
找茬罪呗，凭什么不能找茬呢？,-1
有公式正因素,0
老版厂长回归,1
大林：快叫朱可夫同志去通一下,1
迪克走进旅馆，大声呼喊着：“杰克！我来送人头啦！”,1
你在你的世界里认为你是专业的,-1
散弹枪更新了,-1
理想国,0
老师说的有道理，还是因为太模糊了,1
懂的都懂,-1
怎么不认识啊,0
温故而知新 回忆使人清醒 不会被霉国利用,0
看我发现了啥！！！他居然更新了,1
好好好好好,1
妖魔鬼怪快离开，妖魔鬼怪快离开,1
这个游戏的设计太有趣了，让人根本停不下来！,1
物以类聚，人以群分。近朱者赤近墨者黑。犯罪父母的子女不可能全部都是坏的，那是不是大部分不太好呢？,0
？,0
哈哈哈哈哈哈哈哈哈,1
那就细化啊,0
对味了！,1
2021年4月24日，晴,0
弹幕护体,-1
